YEAR,Customer_num ,Establishment_Date,Number_of_Emp,Profit,Sector,Region,Total Risk ,Total Limit,Sales
2013,RATI3926SVR,36599,6,,MANUFACTURING,Mediterranean Region,682272,1175999,3
2017,RATI9259PIC,41885,5,29445,RETAIL-WHOLESALE,Marmara Region,55737,151620,0
2011,RATI4658JOF,38376,10,,RETAIL-WHOLESALE,Mediterranean Region,69112,200866,3
2014,RATI3156NCT,35069,20,-382616,MANUFACTURING,Marmara Region,1399241,1875108,0
2013,RATI4437XOM,38229,42,,RETAIL-WHOLESALE,Central Anatolia Region,791556,1108920,3
2016,RATI4609TFT,39957,16,220384,MANUFACTURING,Eastern Anatolia Region,2166698,3373321,1
2012,RATI7284VAC,34103,17,,RETAIL-WHOLESALE,Aegean Region,3323366,8839452,3
2014,RATI2089TLJ,40570,2,109851,OTHERS,Marmara Region,1224599,4336543,1
2013,RATI7620CJP,37591,2,,MANUFACTURING,Central Anatolia Region,149311,665203,3
2016,RATI3507PYK,37286,4,,RETAIL-WHOLESALE,Aegean Region,216240,2197002,3
2015,RATI4547WOV,32950,33,18368,MANUFACTURING,Aegean Region,967916,2244593,0
2014,RATI8889FWH,40563,3,,MANUFACTURING,Marmara Region,116609,802154,3
2016,RATI5755PBU,38372,3,51237,OTHERS,Aegean Region,623735,1648391,0
2010,RATI9019ASJ,38751,,103564,MANUFACTURING,Marmara Region,1553276,3010534,1
2010,RATI6302WTW,37464,,,RETAIL-WHOLESALE,,58564,374988,3
2011,RATI8643VVV,34051,19,-86280,OTHERS,Aegean Region,3777070,5230170,0
2012,RATI2867LYK,39152,1,8032,MANUFACTURING,Marmara Region,37891,35638,0
2016,RATI5287SCS,35071,9,94337,RETAIL-WHOLESALE,Marmara Region,415957,1383707,0
2012,RATI3408MKS,37760,5,,OTHERS,Marmara Region,312886,671573,3
2016,RATI3843MLE,38644,5,13082,RETAIL-WHOLESALE,Mediterranean Region,171379,1281471,0
2014,RATI1610BVY,37354,17,,RETAIL-WHOLESALE,Mediterranean Region,275951,1886300,3
2017,RATI5736BPZ,40322,12,186925,OTHERS,Marmara Region,131336,486974,1
2012,RATI2668UUX,39077,24,-775313,SERVICES,,,,0
2016,RATI5704EVQ,38608,17,-48700,MANUFACTURING,Marmara Region,315603,432309,0
2013,RATI3606FYG,39701,2,-314283,MANUFACTURING,Aegean Region,2001,49090,0
2013,RATI7027IDF,38067,5,-608196,OTHERS,Marmara Region,298902,1417665,0
2010,RATI7279BWE,37556,,,RETAIL-WHOLESALE,Marmara Region,548918,1039083,3
2013,RATI3071ZUG,30707,20,,SERVICES,Aegean Region,28565,174157,3
2014,RATI4754WQT,32889,5,,RETAIL-WHOLESALE,Marmara Region,52645,1199142,3
2015,RATI8886XGB,38274,2,82546,OTHERS,Central Anatolia Region,105907,893021,0
2016,RATI7629WAP,39623,1,-2416,OTHERS,Marmara Region,1774201,5767351,0
2017,RATI3705OPK,42185,17,-209969,RETAIL-WHOLESALE,Marmara Region,132173,359996,0
2014,RATI4335GZN,40026,3,705975,RETAIL-WHOLESALE,Marmara Region,137664,7327131,0
2013,RATI5766GYV,38981,8,76794,MANUFACTURING,Aegean Region,447582,2498006,0
2017,RATI9674IGA,34539,17,-104851,OTHERS,,537660,927545,0
2015,RATI6788PTF,39946,5,,RETAIL-WHOLESALE,Aegean Region,1069101,1826499,3
2014,RATI9638DHK,35702,3,,RETAIL-WHOLESALE,Marmara Region,151,1906227,3
2017,RATI7345AQN,36937,5,10736,RETAIL-WHOLESALE,Mediterranean Region,53623,385218,0
2014,RATI2330XND,39478,2,35554,RETAIL-WHOLESALE,Central Anatolia Region,1236439,1939699,0
2013,RATI2370BFY,35747,4,1886,MANUFACTURING,Marmara Region,155182,415765,1
2014,RATI6651LQS,36777,73,,RETAIL-WHOLESALE,Southeastern Anatolia Region,172813,239048,3
2017,RATI6381GIQ,41986,5,92924,RETAIL-WHOLESALE,Marmara Region,423520,964335,0
2011,RATI7974JQQ,31732,14,,RETAIL-WHOLESALE,Marmara Region,1868406,5248618,3
2013,RATI5109VEH,34094,23,47405,RETAIL-WHOLESALE,Marmara Region,785535,1251405,0
2010,RATI4592IPE,39009,20,-277887,SERVICES,Aegean Region,525301,554599,0
2013,RATI4419HAH,35351,5,,RETAIL-WHOLESALE,Aegean Region,184403,240901,3
2014,RATI1220CMZ,40360,5,21603,RETAIL-WHOLESALE,Marmara Region,151309,337390,0
2014,RATI9349SMI,33632,7,160769,SERVICES,Aegean Region,113176,306284,0
2017,RATI4118UTP,35500,5,731696,MANUFACTURING,Aegean Region,71146,179154,1
2017,RATI8588KDN,39616,1,6632,RETAIL-WHOLESALE,Eastern Anatolia Region,968579,2150524,0
2010,RATI8911PZS,38203,,285137,OTHERS,Central Anatolia Region,776942,1580746,0
2015,RATI1485UKN,40889,28,260389,SERVICES,,1199627,1379309,0
2015,RATI9501AWO,40886,3,,OTHERS,Aegean Region,586,83182,3
2010,RATI3570FOS,36926,,,RETAIL-WHOLESALE,,313534,507780,3
2012,RATI5557JMR,38456,10,7601,MANUFACTURING,Marmara Region,283266,1464037,1
2016,RATI3450HQX,35274,4,20181,RETAIL-WHOLESALE,Marmara Region,285333,1251119,0
2015,RATI2827YTV,39080,2,47086,OTHERS,Eastern Anatolia Region,639533,1765503,0
2017,RATI1646BOS,41318,4,160789,SERVICES,Aegean Region,267784,2285105,0
2017,RATI8704OEU,33059,23,,SERVICES,Mediterranean Region,442594,3794650,3
2013,RATI9629IOG,38376,10,132836,RETAIL-WHOLESALE,Southeastern Anatolia Region,486752,719529,0
2016,RATI3207VTP,41379,2,180245,OTHERS,Marmara Region,995967,32350,0
2010,RATI5479DJC,38430,,15959,RETAIL-WHOLESALE,Marmara Region,250033,393969,0
2015,RATI6262XBV,34332,45,,RETAIL-WHOLESALE,Aegean Region,4174816,7856904,3
2013,RATI3493IKZ,34718,26,379415,RETAIL-WHOLESALE,Marmara Region,1731712,3917229,1
2012,RATI6663NOV,36093,4,-1531,OTHERS,Marmara Region,888871,1737528,0
2017,RATI3931JOY,33465,8,28400,RETAIL-WHOLESALE,Marmara Region,247207,597593,0
2011,RATI6591YKC,37640,5,,RETAIL-WHOLESALE,Mediterranean Region,173491,706539,3
2014,RATI9743NFR,38850,13,41988,RETAIL-WHOLESALE,Marmara Region,41661,144808,0
2013,RATI2098CBC,36086,12,141093,MANUFACTURING,Aegean Region,1838231,5827582,1
2012,RATI9619HYM,36547,5,,OTHERS,Mediterranean Region,1515730,2663685,3
2013,RATI7985EPV,35018,3,,RETAIL-WHOLESALE,Mediterranean Region,54972,659964,3
2017,RATI6751YWC,35818,5,,RETAIL-WHOLESALE,Mediterranean Region,273220,507600,3
2017,RATI1678PUR,38942,44,21548,OTHERS,Eastern Anatolia Region,493313,1850560,0
2012,RATI5931GJR,35372,10,,RETAIL-WHOLESALE,Black Sea Region,790711,2297436,3
2015,RATI4287NAF,35285,19,53382,MANUFACTURING,Marmara Region,2221523,6523249,0
2012,RATI5675DUW,35462,10,75747,MANUFACTURING,,33075,115219,0
2010,RATI3939EOM,36585,21,245381,MANUFACTURING,Central Anatolia Region,176015,463512,0
2015,RATI2140UTI,40647,3,157258,SERVICES,,1614383,3476021,0
2013,RATI2783VDZ,34389,12,-210490,OTHERS,Marmara Region,1491230,2498535,1
2016,RATI1574USN,34715,3,,RETAIL-WHOLESALE,Black Sea Region,961548,4121375,3
2011,RATI6207CUZ,37569,40,,MANUFACTURING,,99579,6705820,3
2011,RATI4450EJK,33047,10,56761,RETAIL-WHOLESALE,,181408,198415,0
2011,RATI6107XUJ,39038,5,,RETAIL-WHOLESALE,,21033,66667,3
2016,RATI8893RIE,38247,6,,OTHERS,Marmara Region,7515761,14331495,3
2017,RATI5614VAO,41254,30,,RETAIL-WHOLESALE,Marmara Region,132340,402492,3
2015,RATI2830LHF,37799,12,,MANUFACTURING,Central Anatolia Region,20651,815226,3
2015,RATI7019ZZC,32138,1,,RETAIL-WHOLESALE,,822908,2049956,3
2015,RATI1992SGL,38476,5,24501,RETAIL-WHOLESALE,Marmara Region,1237706,1911928,0
2017,RATI4039UTH,37652,1,24260,RETAIL-WHOLESALE,Mediterranean Region,776755,1120928,0
2016,RATI5359URP,40570,4,,SERVICES,Central Anatolia Region,922256,974581,3
2016,RATI6519MEU,32150,25,85558,MANUFACTURING,Central Anatolia Region,1407396,2232793,0
2015,RATI1495POV,40233,1,,OTHERS,Mediterranean Region,1297820,2644144,3
2017,RATI8089GVX,33281,11,66908,MANUFACTURING,Marmara Region,543201,1272638,0
2014,RATI8822GLD,37938,18,9479,MANUFACTURING,Central Anatolia Region,216015,4667997,0
2010,RATI3490ZWU,39313,3,427572,RETAIL-WHOLESALE,Central Anatolia Region,1737706,2560448,0
2016,RATI5616RKU,40583,1,,RETAIL-WHOLESALE,Marmara Region,207399,697473,3
2017,RATI4395NTS,36964,11,-98954,MANUFACTURING,Marmara Region,2629501,2757668,0
2014,RATI1391QZZ,37187,22,37994,SERVICES,Eastern Anatolia Region,575433,1883005,0
2011,RATI5621QZW,40030,12,,RETAIL-WHOLESALE,,367216,740200,3
2017,RATI3379MVR,38648,70,,RETAIL-WHOLESALE,Black Sea Region,2585334,3284124,3
2016,RATI6427IBH,41339,2,30306,OTHERS,Marmara Region,159564,467954,0
2016,RATI3637QNC,34260,9,1282832,MANUFACTURING,Marmara Region,14936,49149,1
2012,RATI2783VDZ,34383,12,253627,OTHERS,Marmara Region,1830629,3118924,1
2015,RATI7597VMC,41325,17,-52320,SERVICES,,1998897,10685174,0
2016,RATI2151GAA,41827,25,117440,RETAIL-WHOLESALE,Marmara Region,706566,2245697,0
2011,RATI6003OSU,38080,35,171228,MANUFACTURING,Black Sea Region,843936,2753753,0
2010,RATI8517AJY,37258,,,MANUFACTURING,Mediterranean Region,33775,580384,3
2010,RATI9759CEI,35932,4,18808,RETAIL-WHOLESALE,Marmara Region,484874,1441541,0
2017,RATI2285PDE,42084,78,42218,MANUFACTURING,Marmara Region,39615,166346,0
2017,RATI5890PYV,36172,3,,OTHERS,Marmara Region,24521,112093,3
2010,RATI4514IIJ,37253,,,RETAIL-WHOLESALE,Marmara Region,16172,647811,3
2015,RATI2791PIA,35450,6,24658,MANUFACTURING,Marmara Region,55710,637780,0
2014,RATI1378TMI,34355,17,,SERVICES,,51947,4556480,3
2015,RATI9063EGC,40224,5,1134551,RETAIL-WHOLESALE,Central Anatolia Region,113678,153841,0
2016,RATI3999YWE,40572,12,,RETAIL-WHOLESALE,,183060,811257,3
2016,RATI3164YQG,38632,8,31767,RETAIL-WHOLESALE,Marmara Region,155283,546261,0
2012,RATI8591GHT,38917,3,91048,RETAIL-WHOLESALE,,26207,871734,0
2015,RATI5115YXH,41036,2,33051,OTHERS,Mediterranean Region,1328976,3961771,0
2014,RATI8639XXJ,40171,5,124799,RETAIL-WHOLESALE,,3659320,4913953,1
2010,RATI6100ZDD,36148,,,RETAIL-WHOLESALE,Black Sea Region,205131,507998,3
2016,RATI3333OUB,39770,5,,MANUFACTURING,Marmara Region,491888,2671747,3
2016,RATI2381TMM,34302,13,9176,RETAIL-WHOLESALE,,355890,1332058,0
2016,RATI9257FIN,34019,9,847755,MANUFACTURING,Central Anatolia Region,241708,2360567,0
2017,RATI9053FOZ,42029,59,16183,RETAIL-WHOLESALE,Mediterranean Region,194217,238308,0
2012,RATI1463HSC,39519,3,244326,OTHERS,Marmara Region,43330,69492,0
2014,RATI1015EBB,36146,18,,MANUFACTURING,Marmara Region,220176,1183166,3
2017,RATI7359WVP,39692,10,-55990,SERVICES,Central Anatolia Region,51095,1087986,0
2015,RATI1530RRB,40262,38,,SERVICES,Black Sea Region,106335,239456,3
2015,RATI4830SMF,39331,22,-211861,MANUFACTURING,Marmara Region,129923,574426,0
2017,RATI2321UXK,39140,2,10892,MANUFACTURING,,839139,1115626,0
2012,RATI6968JHM,39317,2,72073,RETAIL-WHOLESALE,Marmara Region,94247,472525,0
2013,RATI3690SOG,40060,5,107775,OTHERS,Aegean Region,1243242,3839318,0
2010,RATI7591HGJ,35088,,,MANUFACTURING,Aegean Region,931308,2980999,3
2017,RATI3408HVX,35253,31,738655,OTHERS,Mediterranean Region,50981,220875,0
2016,RATI1560MFM,37416,2,145703,RETAIL-WHOLESALE,Marmara Region,271878,571860,0
2010,RATI2830LHF,37790,15,21194,MANUFACTURING,Central Anatolia Region,356495,513153,0
2011,RATI5564FLM,35078,2,,OTHERS,Aegean Region,241814,321026,3
2014,RATI4979PFA,38020,12,405229,MANUFACTURING,,1813750,9570254,0
2015,RATI8401PPT,35291,2,16848,MANUFACTURING,Southeastern Anatolia Region,2468226,3114431,0
2010,RATI7931ASL,33259,,,RETAIL-WHOLESALE,Marmara Region,,,3
2014,RATI5566YKI,40586,10,104468,MANUFACTURING,Marmara Region,648577,873924,0
2016,RATI5655BOI,39841,3,-1577,RETAIL-WHOLESALE,Marmara Region,297277,1048812,0
2014,RATI1732ETY,35636,9,77242,MANUFACTURING,Central Anatolia Region,98140,305142,0
2010,RATI3229GOH,38716,,74093,MANUFACTURING,,497309,924778,0
2013,RATI4394AQZ,39954,5,214103,MANUFACTURING,Marmara Region,732044,2066156,1
2017,RATI5528RQA,40566,12,32339,MANUFACTURING,Marmara Region,145120,435447,0
2013,RATI4579JYV,38821,3,-346946,RETAIL-WHOLESALE,Black Sea Region,3643644,5726722,1
2011,RATI9292VCP,34694,10,38334,RETAIL-WHOLESALE,Aegean Region,51890,833724,0
2014,RATI9714CKV,39363,5,108575,RETAIL-WHOLESALE,Aegean Region,20714,95666,0
2014,RATI5121VSS,32689,26,26280,MANUFACTURING,Aegean Region,561426,1097309,0
2014,RATI8340DJS,35988,8,-177875,RETAIL-WHOLESALE,Marmara Region,285699,2933937,0
2013,RATI3099YCH,37627,7,31897,RETAIL-WHOLESALE,Mediterranean Region,663558,1804421,0
2017,RATI7847HBP,34693,39,-46866,MANUFACTURING,Marmara Region,2372593,11398683,1
2016,RATI8805IYZ,38933,11,26598,RETAIL-WHOLESALE,Aegean Region,125185,1294179,0
2014,RATI4616BGL,35657,5,,RETAIL-WHOLESALE,Aegean Region,540324,1021398,3
2010,RATI7072AQI,37275,,,RETAIL-WHOLESALE,Southeastern Anatolia Region,31185,3321108,3
2014,RATI5098HUA,36874,3,-96187,RETAIL-WHOLESALE,Aegean Region,375062,939327,0
2017,RATI7422HFW,38736,3,15040,SERVICES,Black Sea Region,592645,1308702,0
2017,RATI5496DDJ,33994,24,,MANUFACTURING,Aegean Region,236994,1342071,3
2011,RATI5410PQM,28711,3,,RETAIL-WHOLESALE,Marmara Region,,,3
2015,RATI2008EJQ,36529,10,20388,MANUFACTURING,Eastern Anatolia Region,26354,429705,0
2010,RATI5034FFC,39529,,-13017,OTHERS,Marmara Region,59881,67627,0
2014,RATI8001SHV,36007,7,86743,RETAIL-WHOLESALE,Marmara Region,2289827,5510198,0
2014,RATI7475RRT,38654,31,,MANUFACTURING,Marmara Region,747801,4419926,3
2016,RATI3382KCS,35129,12,49928,RETAIL-WHOLESALE,Central Anatolia Region,520484,4058330,1
2016,RATI3458NRA,37428,28,126037,MANUFACTURING,Mediterranean Region,1349577,3762124,0
2011,RATI8457DTA,37114,15,78160,RETAIL-WHOLESALE,Black Sea Region,1493450,2003740,0
2014,RATI5577JFE,36487,22,63709,OTHERS,Marmara Region,17047,81786,0
2016,RATI1562GVY,33609,1,1219,RETAIL-WHOLESALE,Central Anatolia Region,526079,1574816,0
2017,RATI7999KZN,40009,13,20527,MANUFACTURING,Marmara Region,768324,4685780,0
2012,RATI4454XYI,30363,9,54502,RETAIL-WHOLESALE,Aegean Region,685898,1680018,0
2017,RATI5970HHB,39544,4,,RETAIL-WHOLESALE,Marmara Region,35863,356035,3
2013,RATI9401FGH,38718,10,21370,RETAIL-WHOLESALE,Marmara Region,300115,356114,0
2014,RATI8820IQB,33641,3,30527,RETAIL-WHOLESALE,Marmara Region,1278129,5223145,0
2013,RATI9677IJQ,35494,3,,OTHERS,Aegean Region,187208,450854,3
2015,RATI3375KUQ,33589,20,230587,RETAIL-WHOLESALE,Marmara Region,0,3297844,1
2014,RATI1454CHR,39275,47,70110,MANUFACTURING,Aegean Region,1415390,2378609,0
2013,RATI6351UTD,36462,15,83954,SERVICES,Marmara Region,213041,968557,0
2017,RATI4234XDF,33986,1,,RETAIL-WHOLESALE,Central Anatolia Region,337569,735007,3
2017,RATI2319HSQ,34784,21,,RETAIL-WHOLESALE,Mediterranean Region,289841,4935012,3
2017,RATI9355TFN,37991,30,244678,MANUFACTURING,Marmara Region,806542,4959960,0
2011,RATI9052CKM,39412,9,82689,OTHERS,Marmara Region,230784,666514,1
2014,RATI7324ATM,39118,7,,OTHERS,Mediterranean Region,1003588,1829146,3
2015,RATI7929ZQU,40880,34,,RETAIL-WHOLESALE,Marmara Region,24427,650478,3
2010,RATI6064FTB,39129,,61025,RETAIL-WHOLESALE,,112839,190801,0
2015,RATI6745CCT,39578,26,,OTHERS,Marmara Region,130105,327802,3
2014,RATI8089ZOP,39758,,-6221,MANUFACTURING,Central Anatolia Region,120634,15697616,1
2017,RATI8352WOS,38512,32,152790,RETAIL-WHOLESALE,Central Anatolia Region,1809151,3505357,1
2015,RATI2708WNK,40035,6,60870,RETAIL-WHOLESALE,Marmara Region,177165,475389,0
2016,RATI9971FUE,34830,20,72760,RETAIL-WHOLESALE,Marmara Region,962029,2809512,0
2014,RATI5739YAU,35460,6,68631,MANUFACTURING,Marmara Region,2359916,5326378,0
2015,RATI1050RGH,37952,22,193696,OTHERS,Aegean Region,22685,648769,0
2014,RATI7773TIP,38396,3,6738,RETAIL-WHOLESALE,Marmara Region,149218,813179,0
2013,RATI1399XDT,39957,1,17480,RETAIL-WHOLESALE,Central Anatolia Region,0,50659,0
2016,RATI3705FWV,37604,11,324191,RETAIL-WHOLESALE,Central Anatolia Region,1088006,4475922,1
2017,RATI5916YID,39637,14,144627,SERVICES,Black Sea Region,539156,962629,0
2011,RATI2678IRF,37993,10,20968,RETAIL-WHOLESALE,Marmara Region,100077,180103,0
2017,RATI4127RPX,40497,8,6901,OTHERS,Marmara Region,2120743,2153865,0
2010,RATI4115OFZ,34670,,76355,OTHERS,Marmara Region,1311754,2461246,0
2014,RATI3638WGK,39276,1,22085,RETAIL-WHOLESALE,Marmara Region,210448,1354651,0
2017,RATI3814OKE,40463,5,,MANUFACTURING,Southeastern Anatolia Region,83128,768920,3
2014,RATI4683FYY,34165,19,29439,RETAIL-WHOLESALE,Marmara Region,4339633,11299844,1
2017,RATI8457KBK,40034,3,,RETAIL-WHOLESALE,Marmara Region,70110,2127078,3
2016,RATI5385EKR,38853,5,-11805,RETAIL-WHOLESALE,Marmara Region,368720,422794,0
2014,RATI5402YMJ,37263,2,102106,RETAIL-WHOLESALE,Marmara Region,35966,151625,0
2017,RATI9155MFH,37604,24,-26698,MANUFACTURING,Black Sea Region,48666,8156318,0
2015,RATI4493UMO,32546,3,19934,RETAIL-WHOLESALE,Marmara Region,894682,4005029,1
2017,RATI8541CFW,40648,2,23428,RETAIL-WHOLESALE,Central Anatolia Region,0,95917,0
2014,RATI5035CKY,40179,35,15385,RETAIL-WHOLESALE,Central Anatolia Region,709766,1025586,0
2011,RATI8614NUN,38000,10,33001,RETAIL-WHOLESALE,Central Anatolia Region,68217,428080,0
2016,RATI9470UFW,34707,5,937751,RETAIL-WHOLESALE,Central Anatolia Region,331211,504231,0
2010,RATI1273CTC,34727,,24885,RETAIL-WHOLESALE,Marmara Region,6116,259517,1
2016,RATI9870MUZ,40509,3,,RETAIL-WHOLESALE,Marmara Region,75320,113907,3
2017,RATI1490CQD,39118,6,282544,RETAIL-WHOLESALE,Marmara Region,219171,53290615,0
2013,RATI4158XFF,38289,1,,MANUFACTURING,Marmara Region,34712,846762,3
2017,RATI8304STS,34345,6,28924,RETAIL-WHOLESALE,Marmara Region,116972,309531,0
2015,RATI8731TJD,35881,107,,OTHERS,Southeastern Anatolia Region,2865731,5043897,3
2015,RATI6815MQZ,40311,6,434819,MANUFACTURING,Marmara Region,968206,3696791,0
2010,RATI2919GSG,34301,89,222354,OTHERS,Marmara Region,414284,1303837,1
2017,RATI1486JKM,35397,20,190855,MANUFACTURING,Mediterranean Region,1304301,1635964,0
2012,RATI1315OQE,38145,24,307796,RETAIL-WHOLESALE,Marmara Region,551689,2032997,1
2015,RATI8089GVX,33275,12,46529,MANUFACTURING,Marmara Region,358467,2688211,0
2011,RATI8065RVC,33642,7,95506,RETAIL-WHOLESALE,Mediterranean Region,941951,1726398,1
2010,RATI4456QWJ,38645,84,39284,MANUFACTURING,Marmara Region,219415,321203,1
2017,RATI1127AFP,34861,12,,OTHERS,Aegean Region,387544,685593,3
2016,RATI7019ZZC,32138,2,-532056,RETAIL-WHOLESALE,,652245,1176075,0
2017,RATI9591YSP,36693,32,-341359,RETAIL-WHOLESALE,Marmara Region,163244,267950,0
2010,RATI3818JTY,39437,,61380,OTHERS,Marmara Region,277686,364834,0
2014,RATI4692SIC,39829,2,,RETAIL-WHOLESALE,,332571,618467,3
2014,RATI6004LDZ,38380,4,-141953,RETAIL-WHOLESALE,Marmara Region,48341,629689,0
2010,RATI7220EOH,39209,,,RETAIL-WHOLESALE,Aegean Region,1532201,1583296,3
2012,RATI5111NEO,31848,10,183130,MANUFACTURING,Black Sea Region,52340,653320,1
2013,RATI4118UTP,35478,5,118357,MANUFACTURING,Aegean Region,29404,423920,0
2016,RATI2449TMR,34362,9,-463630,RETAIL-WHOLESALE,Marmara Region,256061,1067271,0
2011,RATI3818JTY,39441,5,131187,OTHERS,Marmara Region,268826,446541,0
2017,RATI2457LIC,33984,45,119779,RETAIL-WHOLESALE,Marmara Region,440244,5100408,1
2017,RATI1591YUY,35074,8,110426,RETAIL-WHOLESALE,,3925845,9741767,1
2014,RATI9865EFR,36050,2,,RETAIL-WHOLESALE,Central Anatolia Region,42698,2022046,3
2013,RATI2803ZKM,35458,14,39844,RETAIL-WHOLESALE,Marmara Region,689628,900697,0
2016,RATI1056LGQ,39474,1,,OTHERS,Marmara Region,125045,997270,3
2013,RATI5649IJE,39479,5,-105404,RETAIL-WHOLESALE,Central Anatolia Region,285878,533927,0
2013,RATI3467TFK,24733,51,,OTHERS,Marmara Region,282970,841047,3
2013,RATI9736GCT,35319,41,-2152211,OTHERS,Marmara Region,32335,314641,0
2012,RATI1162FAO,31418,5,29149,RETAIL-WHOLESALE,,1122894,2414118,0
2016,RATI1898HTQ,40701,5,183510,MANUFACTURING,Mediterranean Region,867232,3732405,0
2014,RATI8352WOS,38514,44,175304,RETAIL-WHOLESALE,Central Anatolia Region,1235788,3006103,0
2016,RATI4228BVX,36645,47,-324711,RETAIL-WHOLESALE,Marmara Region,1313798,2413998,0
2011,RATI6999YGR,38519,3,910547,MANUFACTURING,Central Anatolia Region,99300,457350,0
2016,RATI8065RVC,33636,7,,RETAIL-WHOLESALE,Mediterranean Region,1095967,3037869,3
2011,RATI5500PDD,39498,4,145098,OTHERS,,205370,389373,0
2015,RATI3306XQT,40478,2,,RETAIL-WHOLESALE,Central Anatolia Region,614106,815899,3
2010,RATI9348EWQ,39291,3,,RETAIL-WHOLESALE,Marmara Region,632136,918772,3
2014,RATI7366FDW,38022,160,33399,RETAIL-WHOLESALE,Marmara Region,2004781,3713288,1
2015,RATI9214FDQ,40211,2,-172643,RETAIL-WHOLESALE,Mediterranean Region,983744,1538511,0
2012,RATI3048PHF,39817,2,99450,RETAIL-WHOLESALE,Eastern Anatolia Region,672329,2694524,0
2016,RATI8629WOG,34723,10,81651,MANUFACTURING,Mediterranean Region,543807,3942263,0
2014,RATI5620ETH,40289,2,71823,RETAIL-WHOLESALE,Black Sea Region,1319678,2398589,0
2012,RATI2226BOQ,39201,,94639,RETAIL-WHOLESALE,Marmara Region,1817976,18560164,0
2014,RATI3426YPX,40686,1,20702,RETAIL-WHOLESALE,,941299,1544718,0
2011,RATI6629QCZ,37926,3,17369,RETAIL-WHOLESALE,Mediterranean Region,185013,496585,0
2011,RATI3509PFZ,33977,2,41925,RETAIL-WHOLESALE,Aegean Region,178807,478506,0
2013,RATI5078XKC,34191,20,-883436,SERVICES,Marmara Region,12746,294678,0
2017,RATI4885LYP,39792,7,-5040,RETAIL-WHOLESALE,Marmara Region,246261,1081443,0
2010,RATI6769FIF,37812,10,114334,MANUFACTURING,Marmara Region,89865,924796,0
2014,RATI5005MOZ,34219,5,49424,RETAIL-WHOLESALE,Marmara Region,2957616,4676378,0
2013,RATI5212HTV,39416,7,-554242,OTHERS,Marmara Region,,,0
2014,RATI8901NOO,39050,10,30349,MANUFACTURING,Marmara Region,1173266,2085857,0
2015,RATI2521VYG,39271,8,,SERVICES,Marmara Region,17476,155752,3
2012,RATI9470UFW,34710,20,,RETAIL-WHOLESALE,Central Anatolia Region,495641,1787504,3
2010,RATI5683VUM,37267,5,128119,MANUFACTURING,Marmara Region,278985,1093272,0
2016,RATI3341SLO,41612,5,211656,RETAIL-WHOLESALE,Mediterranean Region,793005,969245,0
2017,RATI2221UNF,39450,9,,MANUFACTURING,Mediterranean Region,23746,521580,3
2014,RATI3110ZTX,35822,7,63842,RETAIL-WHOLESALE,Southeastern Anatolia Region,3147200,10093392,1
2016,RATI8955HTA,41715,3,-82107,RETAIL-WHOLESALE,,514669,518740,0
2010,RATI5996KYF,36855,,,RETAIL-WHOLESALE,Marmara Region,827970,1158413,3
2016,RATI9062PKI,38194,5,,MANUFACTURING,Marmara Region,15845,133456,3
2014,RATI3653KMD,35436,27,33331,SERVICES,,1408803,2265686,0
2015,RATI6581HGB,39422,101,74214,OTHERS,Marmara Region,401163,2302605,1
2011,RATI1830HBK,29466,7,9780,MANUFACTURING,Marmara Region,116838,328329,0
2017,RATI9027JBP,40094,34,258862,RETAIL-WHOLESALE,Southeastern Anatolia Region,2326080,7501267,0
2013,RATI6062QMR,35813,54,,MANUFACTURING,Marmara Region,282234,722165,3
2010,RATI4542ABU,38153,,262769,MANUFACTURING,Marmara Region,1295893,3116488,0
2015,RATI8522LYJ,35351,17,,MANUFACTURING,Mediterranean Region,1815649,2080264,3
2016,RATI6769FIF,37808,5,347378,MANUFACTURING,Marmara Region,196636,2373852,1
2016,RATI6916CRY,41481,5,-5770,OTHERS,Marmara Region,53197,46370,0
2017,RATI8869JPT,42086,9,16010,OTHERS,Marmara Region,244119,296957,0
2014,RATI3721BWV,38752,9,72804,OTHERS,Central Anatolia Region,869352,1188286,1
2017,RATI6800AOU,37825,52,122294,MANUFACTURING,Marmara Region,678412,2635528,0
2015,RATI6086XPB,36160,31,86429,MANUFACTURING,,1111992,2778177,0
2011,RATI6641WEJ,35914,36,9187,RETAIL-WHOLESALE,Marmara Region,1501925,2838269,0
2016,RATI9022HEY,41484,40,44233,OTHERS,Aegean Region,334566,440441,0
2013,RATI2461ZOH,37754,20,-163800,MANUFACTURING,Marmara Region,1884734,3574513,0
2012,RATI3664LFR,35435,15,38716,OTHERS,Central Anatolia Region,210447,1267482,0
2011,RATI9620DLJ,37257,17,,RETAIL-WHOLESALE,Marmara Region,28159,584500,3
2010,RATI6941CPU,33253,,-613851,RETAIL-WHOLESALE,Aegean Region,685040,1035531,0
2013,RATI7788EKL,35433,5,,RETAIL-WHOLESALE,Marmara Region,,,3
2013,RATI8002XKE,37852,3,341597,RETAIL-WHOLESALE,Marmara Region,5332,359671,0
2017,RATI2708WNK,40037,10,169872,RETAIL-WHOLESALE,Marmara Region,111900,309678,0
2013,RATI1648HCX,39928,3,5235,RETAIL-WHOLESALE,Marmara Region,457548,743001,1
2011,RATI6974CQH,32402,10,-89727,OTHERS,,188016,724347,0
2011,RATI2200MTH,36806,2,32121,MANUFACTURING,Central Anatolia Region,423320,1010723,0
